NM_000696	ALDH9A1
NM_000697	ALOX12
NM_000698	ALOX5
NM_000699	AMY2A
NM_000700	ANXA1
NM_000701	ATP1A1
NM_000702	ATP1A2
NM_000704	ATP4A
NM_000705	ATP4B
NM_000706	AVPR1A
NM_000707	AVPR1B
NM_000710	BDKRB1
NM_000712	BLVRA
NM_000713	BLVRB
NM_000714	TSPO
NM_000715	C4BPA
NM_000716	C4BPB
NM_000717	CA4
NM_000718	CACNA1B
NM_000719	CACNA1C
NM_000720	CACNA1D
NM_000721	CACNA1E
NM_000722	CACNA2D1
NM_000723	CACNB1
NM_000724	CACNB2
NM_000725	CACNB3
NM_000726	CACNB4
NM_000727	CACNG1
NM_000728	CALCB
NM_000729	CCK
NM_000730	CCKAR
NM_000732	CD3D
NM_000733	CD3E
NM_000734	CD247
NM_000735	CGA
NM_000737	CGB
NM_000738	CHRM1
NM_000739	CHRM2
NM_000740	CHRM3
NM_000741	CHRM4
NM_000742	CHRNA2
NM_000743	CHRNA3
NM_000744	CHRNA4
NM_000745	CHRNA5
NM_000746	CHRNA7
NM_000747	CHRNB1
NM_000748	CHRNB2
NM_000749	CHRNB3
NM_000750	CHRNB4
NM_000751	CHRND
NM_000754	COMT
NM_000755	CRAT
NM_000756	CRH
NM_000757	CSF1
NM_000758	CSF2
NM_000759	CSF3
NM_000760	CSF3R
NM_000761	CYP1A2
NM_000762	CYP2A6
NM_000764	CYP2A7
NM_000765	CYP3A7
NM_000766	CYP2A13
NM_000767	CYP2B6
NM_000769	CYP2C19
NM_000770	CYP2C8
NM_000771	CYP2C9
NM_000772	CYP2C18
NM_000773	CYP2E1
NM_000774	CYP2F1
NM_000775	CYP2J2
NM_000777	CYP3A5
NM_000778	CYP4A11
NM_000779	CYP4B1
NM_000780	CYP7A1
NM_000781	CYP11A1
NM_000782	CYP24A1
NM_000783	CYP26A1
NM_000784	CYP27A1
NM_000785	CYP27B1
NM_000786	CYP51A1
NM_000787	DBH
NM_000788	DCK
NM_000789	ACE
NM_000790	DDC
NM_000791	DHFR
NM_000792	DIO1
NM_000793	DIO2
NM_000794	DRD1
NM_000795	DRD2
NM_000796	DRD3
NM_000797	DRD4
NM_000798	DRD5
NM_000799	EPO
NM_000800	FGF1
NM_000801	FKBP1A
NM_000802	FOLR1
NM_000803	FOLR2
NM_000804	FOLR3
NM_000805	GAST
NM_000806	GABRA1
NM_000807	GABRA2
NM_000808	GABRA3
NM_000809	GABRA4
NM_000810	GABRA5
NM_000811	GABRA6
NM_000812	GABRB1
NM_000813	GABRB2
NM_000814	GABRB3
NM_000815	GABRD
NM_000816	GABRG2
NM_000817	GAD1
NM_000818	GAD2
NM_000819	GART
NM_000820	GAS6
NM_000821	GGCX
NM_000823	GHRHR
NM_000824	GLRB
NM_000825	GNRH1
NM_000826	GRIA2
NM_000827	GRIA1
NM_000828	GRIA3
NM_000829	GRIA4
NM_000830	GRIK1
NM_000831	GRIK3
NM_000832	GRIN1
NM_000833	GRIN2A
NM_000834	GRIN2B
NM_000835	GRIN2C
NM_000836	GRIN2D
NM_000837	GRINA
NM_000839	GRM2
NM_000840	GRM3
NM_000841	GRM4
NM_000842	GRM5
NM_000843	GRM6
NM_000844	GRM7
NM_000845	GRM8
NM_000846	GSTA2
NM_000847	GSTA3
NM_000848	GSTM2
NM_000849	GSTM3
NM_000850	GSTM4
NM_000851	GSTM5
NM_000852	GSTP1
NM_000853	GSTT1
NM_000854	GSTT2
NM_000855	GUCY1A2
NM_000856	GUCY1A3
NM_000857	GUCY1B3
NM_000858	GUK1
NM_000859	HMGCR
NM_000860	HPGD
NM_000861	HRH1
NM_000862	HSD3B1
NM_000863	HTR1B
NM_000864	HTR1D
NM_000865	HTR1E
NM_000866	HTR1F
NM_000867	HTR2B
NM_000868	HTR2C
NM_000869	HTR3A
NM_000870	HTR4
NM_000871	HTR6
NM_000872	HTR7
NM_000873	ICAM2
NM_000874	IFNAR2
NM_000875	IGF1R
NM_000876	IGF2R
NM_000877	IL1R1
NM_000878	IL2RB
NM_000879	IL5
NM_000880	IL7
NM_000882	IL12A
NM_000883	IMPDH1
NM_000884	IMPDH2
NM_000885	ITGA4
NM_000887	ITGAX
NM_000888	ITGB6
NM_000889	ITGB7
NM_000890	KCNJ5
NM_000891	KCNJ2
NM_000892	KLKB1
NM_000893	KNG1
NM_000894	LHB
NM_000895	LTA4H
NM_000896	CYP4F3
NM_000898	MAOB
NM_000899	KITLG
NM_000900	MGP
NM_000901	NR3C2
NM_000902	MME
NM_000903	NQO1
NM_000904	NQO2
NM_000905	NPY
NM_000906	NPR1
NM_000908	NPR3
NM_000909	NPY1R
NM_000910	NPY2R
NM_000911	OPRD1
NM_000912	OPRK1
NM_000913	OPRL1
NM_000914	OPRM1
NM_000915	OXT
NM_000916	OXTR
NM_000917	P4HA1
NM_000918	P4HB
NM_000919	PAM
NM_000920	PC
NM_000921	PDE3A
NM_000922	PDE3B
NM_000923	PDE4C
NM_000924	PDE1B
NM_000925	PDHB
NM_000926	PGR
NM_000927	ABCB1
NM_000928	PLA2G1B
NM_000929	PLA2G5
NM_000930	PLAT
NM_000932	PLCB3
NM_000933	PLCB4
NM_000934	SERPINF2
NM_000935	PLOD2
NM_000936	PNLIP
NM_000937	POLR2A
NM_000938	POLR2B
NM_000939	POMC
NM_000940	PON3
NM_000941	POR
NM_000942	PPIB
NM_000943	PPIC
NM_000944	PPP3CA
NM_000945	PPP3R1
NM_000946	PRIM1
NM_000947	PRIM2
NM_000948	PRL
NM_000949	PRLR
NM_000950	PRRG1
NM_000951	PRRG2
NM_000952	PTAFR
NM_000953	PTGDR
NM_000954	PTGDS
NM_000955	PTGER1
NM_000956	PTGER2
NM_000958	PTGER4
NM_000959	PTGFR
NM_000960	PTGIR
NM_000961	PTGIS
NM_000962	PTGS1
NM_000963	PTGS2
NM_000964	RARA
NM_000965	RARB
NM_000966	RARG
NM_000967	RPL3
NM_000968	RPL4
NM_000969	RPL5
NM_000970	RPL6
NM_000971	RPL7
NM_000972	RPL7A
NM_000973	RPL8
NM_000975	RPL11
NM_000976	RPL12
NM_000977	RPL13
NM_000978	RPL23
NM_000979	RPL18
NM_000980	RPL18A
NM_000981	RPL19
NM_000982	RPL21
NM_000983	RPL22
NM_000984	RPL23A
NM_000985	RPL17
NM_000986	RPL24
NM_000987	RPL26
NM_000988	RPL27
NM_000989	RPL30
NM_000990	RPL27A
NM_000991	RPL28
NM_000992	RPL29
NM_000993	RPL31
NM_000994	RPL32
NM_000995	RPL34
NM_000996	RPL35A
NM_000997	RPL37
NM_000998	RPL37A
NM_000999	RPL38
NM_001000	RPL39
NM_001001132	ITSN1
NM_001001290	SLC2A9
NM_001001317	PRSS58
NM_001001323	ATP2B1
NM_001001325	SPINK14
NM_001001329	PRKCSH
NM_001001330	REEP3
NM_001001331	ATP2B2
NM_001001342	n/a
NM_001001343	FNDC9
NM_001001344	ATP2B3
NM_001001346	CLDN20
NM_001001349	NKIRAS2
NM_001001389	CD44
NM_001001390	CD44
NM_001001391	CD44
NM_001001392	CD44
NM_001001394	DNAJB3
NM_001001395	LMO3
NM_001001396	ATP2B4
NM_001001410	TSR3
NM_001001411	ZNF676
NM_001001412	CALHM1
NM_001001413	GOLGA6L1
NM_001001414	NCCRP1
NM_001001415	ZNF429
NM_001001417	TBC1D3B
NM_001001418	TBC1D3C
NM_001001419	SMAD5
NM_001001420	SMAD5
NM_001001430	TNNT2
NM_001001431	TNNT2
NM_001001432	TNNT2
NM_001001433	STX16
NM_001001436	C16orf87
NM_001001437	n/a
NM_001001438	LSS
NM_001001479	SLC35E4
NM_001001480	KRTAP5-5
NM_001001481	UBE2W
NM_001001483	ZDHHC13
NM_001001484	PTER
NM_001001485	ATP2C1
NM_001001486	ATP2C1
NM_001001487	ATP2C1
NM_001001502	SNCB
NM_001001503	NDUFV3
NM_001001520	HDGFRP2
NM_001001521	UGP2
NM_001001522	TAGLN
NM_001001523	RORC
NM_001001524	TM6SF2
NM_001001547	CD36
NM_001001548	CD36
NM_001001549	GRB10
NM_001001550	GRB10
NM_001001551	IDNK
NM_001001552	LEMD1
NM_001001555	GRB10
NM_001001556	GALK2
NM_001001557	GDF6
NM_001001560	GGA1
NM_001001563	TIMM50
NM_001001567	PDE9A
NM_001001568	PDE9A
NM_001001569	PDE9A
NM_001001570	PDE9A
NM_001001571	PDE9A
NM_001001572	PDE9A
NM_001001573	PDE9A
NM_001001574	PDE9A
NM_001001575	PDE9A
NM_001001576	PDE9A
NM_001001577	PDE9A
NM_001001578	PDE9A
NM_001001579	PDE9A
NM_001001580	PDE9A
NM_001001581	PDE9A
NM_001001582	PDE9A
NM_001001583	PDE9A
NM_001001584	PDE9A
NM_001001585	PDE9A
NM_001001653	MED8
NM_001001655	ALKBH2
NM_001001656	OR9A4
NM_001001657	OR2Y1
NM_001001658	OR9A2
NM_001001659	OR2A14
NM_001001660	LYRM5
NM_001001661	ZNF425
NM_001001662	ZNF782
NM_001001663	TMEM211
NM_001001664	SPOPL
NM_001001665	CYP27C1
NM_001001666	ANO7
NM_001001667	OR6V1
NM_001001668	ZNF470
NM_001001669	ARHGEF37
NM_001001671	MAP3K15
NM_001001673	RNASE9
NM_001001674	OR4F15
NM_001001676	LCN9
NM_001001683	MED11
NM_001001694	IL17REL
NM_001001701	C4orf3
NM_001001709	C9orf170
NM_001001710	FAM166A
NM_001001711	DDI1
NM_001001712	LCN10
NM_001001713	SH3BGR
NM_001001715	FARP1
NM_001001732	CC2D2B
NM_001001734	ATP1A4
NM_001001740	RFWD2
NM_001001786	BLID
NM_001001788	RAET1G
NM_001001790	TOMM5
NM_001001794	DENND6B
NM_001001795	C8orf82
NM_001001802	n/a
NM_001001821	OR2T34
NM_001001824	OR2T27
NM_001001827	OR2T35
NM_001001850	STX19
NM_001001851	ITIH5
NM_001001852	PIM3
NM_001001872	C14orf37
NM_001001874	TPD52L3
NM_001001875	TPD52L3
NM_001001888	VCX3B
NM_001001890	RUNX1
NM_001001891	ANO7
NM_001001894	TTC3
NM_001001895	UBASH3A
NM_001001912	OR4E2
NM_001001913	OR52N1
NM_001001914	OR2G3
NM_001001915	OR2G2
NM_001001916	OR52J3
NM_001001917	OR56A1
NM_001001918	OR14C36
NM_001001919	OR13C4
